,state,age,total_population,total_citizen_population,total_registered,percent_registered_total,margin_of_error,percent_registered_citizen,margin_of_error_2,total_voted,percent_voted_total,margin_of_error_3,percent_voted_citizen,margin_of_error_4,sex_race_and_hispanic_origin
0,US,Total,249748,228832,153066.0,61.3,0.3,66.9,0.3,122281.0,49.0,0.3,53.4,0.3,
1,US,18 to 24,28993,26950,13241.0,45.7,0.9,49.1,0.9,8726.0,30.1,0.8,32.4,0.9,
2,US,25 to 34,44769,39280,23342.0,52.1,0.7,59.4,0.8,16545.0,37.0,0.7,42.1,0.8,
3,US,35 to 44,40784,35403,23383.0,57.3,0.8,66.0,0.8,18041.0,44.2,0.8,51.0,0.8,
4,US,45 to 64,83277,77085,55032.0,66.1,0.5,71.4,0.5,45829.0,55.0,0.5,59.5,0.5,
5,US,65+,51925,50113,38068.0,73.3,0.6,76.0,0.6,33139.0,63.8,0.6,66.1,0.7,
6,ALABAMA,Total,3753,3609,2490.0,66.4,2.5,69.0,2.5,1830.0,48.8,2.7,50.7,2.7,
7,ALABAMA,18 to 24,458,434,221.0,48.2,7.6,50.8,7.8,130.0,28.3,6.9,29.9,7.2,
8,ALABAMA,25 to 34,660,619,425.0,64.4,6.1,68.6,6.1,262.0,39.8,6.2,42.4,6.5,
9,ALABAMA,35 to 44,556,508,341.0,61.3,6.8,67.1,6.8,239.0,43.0,6.9,47.1,7.2,
10,ALABAMA,45 to 64,1340,1313,933.0,69.7,4.1,71.1,4.1,736.0,54.9,4.4,56.0,4.5,
11,ALABAMA,65+,740,735,571.0,77.1,5.0,77.7,5.0,463.0,62.6,5.8,63.1,5.8,
12,ALASKA,Total,523,497,337.0,64.4,2.7,67.7,2.7,263.0,50.2,2.9,52.8,2.9,
13,ALASKA,18 to 24,76,69,36.0,48.3,7.5,B,B,27.0,35.5,7.2,B,B,
14,ALASKA,25 to 34,104,99,57.0,55.1,6.4,58.0,6.5,39.0,37.5,6.2,39.6,6.4,
15,ALASKA,35 to 44,76,72,52.0,68.1,7.0,B,B,39.0,51.4,7.5,B,B,
16,ALASKA,45 to 64,173,167,121.0,69.8,4.5,72.7,4.5,98.0,56.8,4.9,59.1,5.0,
17,ALASKA,65+,94,91,70.0,74.7,5.9,77.0,5.8,59.0,63.0,6.5,65.0,6.5,
18,ARIZONA,Total,5361,4757,3262.0,60.8,2.2,68.6,2.2,2800.0,52.2,2.3,58.9,2.4,
19,ARIZONA,18 to 24,652,619,302.0,46.3,6.5,48.8,6.7,217.0,33.3,6.1,35.0,6.4,
20,ARIZONA,25 to 34,876,729,360.0,41.1,5.5,49.4,6.1,287.0,32.8,5.3,39.4,6.0,
21,ARIZONA,35 to 44,873,714,541.0,62.0,5.4,75.8,5.3,407.0,46.6,5.6,57.0,6.1,
22,ARIZONA,45 to 64,1834,1637,1229.0,67.0,3.6,75.0,3.5,1090.0,59.4,3.8,66.6,3.9,
23,ARIZONA,65+,1126,1057,830.0,73.7,4.3,78.5,4.2,799.0,71.0,4.5,75.6,4.4,
24,ARKANSAS,Total,2261,2158,1262.0,55.8,2.7,58.5,2.8,919.0,40.6,2.7,42.6,2.8,
25,ARKANSAS,18 to 24,281,258,119.0,42.4,7.7,46.3,8.2,61.0,21.9,6.5,23.9,7.0,
26,ARKANSAS,25 to 34,433,395,204.0,47.2,6.3,51.8,6.6,122.0,28.0,5.7,30.8,6.1,
27,ARKANSAS,35 to 44,302,278,154.0,50.9,7.6,55.3,7.8,100.0,33.2,7.1,36.1,7.6,
28,ARKANSAS,45 to 64,737,723,433.0,58.8,4.8,59.9,4.8,341.0,46.2,4.8,47.1,4.9,
29,ARKANSAS,65+,508,505,352.0,69.3,5.4,69.7,5.4,295.0,58.0,5.8,58.4,5.8,
30,CALIFORNIA,Total,30243,25525,15690.0,51.9,1.0,61.5,1.0,13240.0,43.8,0.9,51.9,1.0,
31,CALIFORNIA,18 to 24,3385,3100,1407.0,41.6,2.8,45.4,3.0,1096.0,32.4,2.7,35.3,2.8,
32,CALIFORNIA,25 to 34,5861,4734,2706.0,46.2,2.2,57.2,2.4,2045.0,34.9,2.1,43.2,2.4,
33,CALIFORNIA,35 to 44,5487,4187,2444.0,44.5,2.2,58.4,2.5,2058.0,37.5,2.2,49.2,2.6,
34,CALIFORNIA,45 to 64,9975,8415,5554.0,55.7,1.6,66.0,1.7,4792.0,48.0,1.7,56.9,1.8,
35,CALIFORNIA,65+,5535,5089,3580.0,64.7,2.1,70.3,2.1,3248.0,58.7,2.2,63.8,2.2,
36,COLORADO,Total,4353,4029,2645.0,60.8,2.5,65.6,2.5,2342.0,53.8,2.5,58.1,2.6,
37,COLORADO,18 to 24,437,404,228.0,52.2,8.0,56.4,8.2,166.0,38.0,7.7,41.1,8.1,
38,COLORADO,25 to 34,859,751,433.0,50.4,5.7,57.7,6.0,367.0,42.7,5.6,48.8,6.1,
39,COLORADO,35 to 44,841,763,509.0,60.5,5.6,66.7,5.7,432.0,51.3,5.7,56.6,6.0,
40,COLORADO,45 to 64,1389,1312,876.0,63.1,4.3,66.8,4.3,797.0,57.4,4.4,60.8,4.5,
41,COLORADO,65+,827,798,598.0,72.3,5.2,75.0,5.1,580.0,70.1,5.3,72.7,5.2,
42,CONNECTICUT,Total,2834,2539,1726.0,60.9,2.6,68.0,2.7,1370.0,48.3,2.7,54.0,2.9,
43,CONNECTICUT,18 to 24,235,219,112.0,47.8,9.4,51.2,9.7,77.0,32.7,8.8,35.1,9.3,
44,CONNECTICUT,25 to 34,551,481,261.0,47.4,6.1,54.2,6.6,177.0,32.1,5.7,36.7,6.3,
45,CONNECTICUT,35 to 44,446,356,251.0,56.3,6.8,70.5,7.0,196.0,43.9,6.8,54.9,7.6,
46,CONNECTICUT,45 to 64,1020,917,642.0,63.0,4.4,70.1,4.4,539.0,52.8,4.5,58.8,4.7,
47,CONNECTICUT,65+,583,565,459.0,78.8,4.9,81.3,4.7,382.0,65.5,5.7,67.5,5.7,
48,DELAWARE,Total,756,713,472.0,62.4,2.6,66.3,2.6,369.0,48.8,2.7,51.8,2.8,
49,DELAWARE,18 to 24,76,74,32.0,42.3,8.4,B,B,23.0,29.8,7.7,B,B,
50,DELAWARE,25 to 34,133,112,68.0,50.9,6.4,60.3,6.8,42.0,31.7,5.9,37.5,6.7,
51,DELAWARE,35 to 44,110,99,69.0,62.2,6.8,69.0,6.8,47.0,42.7,7.0,47.4,7.4,
52,DELAWARE,45 to 64,269,261,183.0,67.8,4.2,69.9,4.2,154.0,57.3,4.4,59.1,4.5,
53,DELAWARE,65+,168,166,121.0,72.3,5.1,73.1,5.1,103.0,61.2,5.6,61.9,5.6,
54,DISTRICT OF COLUMBIA,Total,567,512,397.0,70.0,2.5,77.6,2.4,313.0,55.2,2.7,61.1,2.8,
55,DISTRICT OF COLUMBIA,18 to 24,61,54,38.0,B,B,B,B,29.0,B,B,B,B,
56,DISTRICT OF COLUMBIA,25 to 34,173,156,117.0,67.6,4.6,75.1,4.5,93.0,53.6,4.9,59.5,5.1,
57,DISTRICT OF COLUMBIA,35 to 44,105,90,76.0,72.1,5.7,84.2,5.0,61.0,57.9,6.3,67.7,6.4,
58,DISTRICT OF COLUMBIA,45 to 64,133,121,91.0,68.8,5.3,75.6,5.1,69.0,52.3,5.7,57.5,5.9,
59,DISTRICT OF COLUMBIA,65+,95,91,75.0,79.1,5.4,82.9,5.2,60.0,63.7,6.4,66.7,6.5,
60,FLORIDA,Total,16845,15047,9435.0,56.0,1.2,62.7,1.3,7918.0,47.0,1.3,52.6,1.3,
61,FLORIDA,18 to 24,1656,1511,655.0,39.6,3.9,43.4,4.2,449.0,27.1,3.6,29.7,3.8,
62,FLORIDA,25 to 34,2561,2128,1160.0,45.3,3.2,54.5,3.5,852.0,33.3,3.0,40.0,3.5,
63,FLORIDA,35 to 44,2689,2223,1272.0,47.3,3.1,57.2,3.4,977.0,36.3,3.0,44.0,3.4,
64,FLORIDA,45 to 64,5697,5166,3472.0,60.9,2.1,67.2,2.1,2993.0,52.5,2.2,57.9,2.2,
65,FLORIDA,65+,4241,4018,2877.0,67.8,2.3,71.6,2.3,2647.0,62.4,2.4,65.9,2.4,
66,GEORGIA,Total,7850,7311,4840.0,61.7,1.8,66.2,1.8,4084.0,52.0,1.9,55.9,1.9,
67,GEORGIA,18 to 24,1037,978,516.0,49.8,5.1,52.8,5.3,359.0,34.6,4.9,36.7,5.1,
68,GEORGIA,25 to 34,1322,1232,746.0,56.4,4.5,60.5,4.6,576.0,43.6,4.5,46.8,4.7,
69,GEORGIA,35 to 44,1357,1207,801.0,59.0,4.4,66.3,4.5,685.0,50.5,4.5,56.7,4.7,
70,GEORGIA,45 to 64,2589,2398,1694.0,65.4,3.1,70.6,3.1,1489.0,57.5,3.2,62.1,3.3,
71,GEORGIA,65+,1545,1496,1084.0,70.2,3.9,72.5,3.8,976.0,63.2,4.1,65.2,4.1,
72,HAWAII,Total,1057,971,523.0,49.5,2.7,53.9,2.8,427.0,40.4,2.7,44.0,2.8,
73,HAWAII,18 to 24,134,121,36.0,26.8,6.8,29.5,7.3,29.0,21.7,6.3,23.9,6.8,
74,HAWAII,25 to 34,152,132,64.0,42.4,7.1,48.7,7.7,50.0,32.7,6.7,37.5,7.4,
75,HAWAII,35 to 44,165,150,73.0,44.1,6.8,48.5,7.2,49.0,29.4,6.3,32.3,6.7,
76,HAWAII,45 to 64,346,317,192.0,55.4,4.7,60.5,4.9,159.0,45.9,4.7,50.0,5.0,
77,HAWAII,65+,261,251,159.0,60.9,5.3,63.4,5.4,141.0,54.3,5.5,56.5,5.5,
78,IDAHO,Total,1299,1226,743.0,57.2,2.7,60.6,2.7,587.0,45.2,2.7,47.9,2.8,
79,IDAHO,18 to 24,177,165,53.0,30.2,6.7,32.4,7.1,35.0,19.9,5.8,21.4,6.2,
80,IDAHO,25 to 34,202,176,96.0,47.3,6.8,54.2,7.3,62.0,30.9,6.3,35.3,7.0,
81,IDAHO,35 to 44,228,206,133.0,58.4,6.4,64.4,6.5,100.0,43.8,6.4,48.3,6.8,
82,IDAHO,45 to 64,437,428,284.0,64.9,4.4,66.2,4.4,232.0,53.0,4.6,54.1,4.7,
83,IDAHO,65+,256,250,177.0,69.2,5.6,70.7,5.6,158.0,61.7,5.9,63.1,5.9,
84,ILLINOIS,Total,9732,8947,6068.0,62.4,1.6,67.8,1.6,4740.0,48.7,1.7,53.0,1.7,
85,ILLINOIS,18 to 24,1199,1098,531.0,44.3,4.8,48.4,5.0,339.0,28.3,4.3,30.9,4.6,
86,ILLINOIS,25 to 34,1721,1514,955.0,55.5,4.0,63.1,4.1,650.0,37.8,3.9,42.9,4.2,
87,ILLINOIS,35 to 44,1588,1404,923.0,58.1,4.1,65.7,4.2,680.0,42.9,4.1,48.4,4.4,
88,ILLINOIS,45 to 64,3407,3152,2317.0,68.0,2.6,73.5,2.6,1920.0,56.3,2.8,60.9,2.9,
89,ILLINOIS,65+,1817,1778,1343.0,73.9,3.4,75.5,3.4,1151.0,63.3,3.7,64.7,3.8,
90,INDIANA,Total,5006,4792,3131.0,62.5,2.2,65.3,2.3,2364.0,47.2,2.3,49.3,2.4,
91,INDIANA,18 to 24,652,583,288.0,44.2,6.4,49.4,6.8,181.0,27.8,5.8,31.1,6.3,
92,INDIANA,25 to 34,834,785,437.0,52.4,5.7,55.7,5.8,285.0,34.2,5.4,36.3,5.6,
93,INDIANA,35 to 44,792,756,515.0,65.0,5.6,68.1,5.6,358.0,45.2,5.8,47.3,6.0,
94,INDIANA,45 to 64,1745,1688,1156.0,66.2,3.7,68.5,3.7,959.0,55.0,3.9,56.8,4.0,
95,INDIANA,65+,983,980,735.0,74.8,4.5,75.1,4.5,580.0,59.0,5.2,59.2,5.2,
96,IOWA,Total,2376,2239,1658.0,69.8,2.6,74.0,2.5,1335.0,56.2,2.8,59.6,2.8,
97,IOWA,18 to 24,287,259,133.0,46.3,8.0,51.3,8.4,89.0,30.9,7.4,34.2,8.0,
98,IOWA,25 to 34,445,402,273.0,61.4,6.3,68.1,6.3,192.0,43.2,6.4,47.9,6.8,
99,IOWA,35 to 44,341,306,228.0,66.8,6.9,74.3,6.8,174.0,51.0,7.4,56.8,7.7,
100,IOWA,45 to 64,764,732,557.0,72.9,4.4,76.0,4.3,462.0,60.5,4.8,63.1,4.8,
101,IOWA,65+,539,539,467.0,86.5,4.0,86.5,4.0,418.0,77.4,4.9,77.4,4.9,
102,KANSAS,Total,2149,2026,1449.0,67.4,2.8,71.5,2.8,1152.0,53.6,3.0,56.9,3.0,
103,KANSAS,18 to 24,262,246,152.0,58.1,8.4,62.0,8.6,93.0,35.4,8.2,37.7,8.6,
104,KANSAS,25 to 34,358,319,175.0,48.8,7.3,54.7,7.7,134.0,37.3,7.1,41.8,7.6,
105,KANSAS,35 to 44,378,335,234.0,61.8,6.9,69.8,6.9,180.0,47.5,7.1,53.7,7.5,
106,KANSAS,45 to 64,723,700,540.0,74.6,4.5,77.1,4.4,447.0,61.8,5.0,63.9,5.0,
107,KANSAS,65+,428,426,349.0,81.5,5.2,81.9,5.2,299.0,69.9,6.1,70.2,6.1,
108,KENTUCKY,Total,3370,3249,2389.0,70.9,2.6,73.5,2.6,1746.0,51.8,2.9,53.8,2.9,
109,KENTUCKY,18 to 24,436,413,228.0,52.2,7.9,55.2,8.1,100.0,22.9,6.7,24.2,7.0,
110,KENTUCKY,25 to 34,539,507,332.0,61.6,6.9,65.6,7.0,236.0,43.7,7.1,46.5,7.3,
111,KENTUCKY,35 to 44,518,484,344.0,66.4,6.9,71.1,6.8,242.0,46.8,7.3,50.1,7.5,
112,KENTUCKY,45 to 64,1079,1048,836.0,77.5,4.2,79.8,4.1,662.0,61.3,4.9,63.1,4.9,
113,KENTUCKY,65+,798,798,649.0,81.4,4.6,81.4,4.6,507.0,63.5,5.6,63.5,5.6,
114,LOUISIANA,Total,3458,3326,2263.0,65.4,2.6,68.0,2.6,1656.0,47.9,2.7,49.8,2.7,
115,LOUISIANA,18 to 24,409,390,202.0,49.3,7.8,51.7,8.0,98.0,24.0,6.7,25.2,7.0,
116,LOUISIANA,25 to 34,587,549,335.0,57.2,6.5,61.1,6.6,217.0,37.0,6.3,39.5,6.6,
117,LOUISIANA,35 to 44,607,573,376.0,61.9,6.2,65.5,6.3,257.0,42.2,6.3,44.8,6.6,
118,LOUISIANA,45 to 64,1144,1112,791.0,69.1,4.3,71.1,4.3,633.0,55.3,4.7,56.9,4.7,
119,LOUISIANA,65+,711,702,560.0,78.7,4.9,79.7,4.8,452.0,63.5,5.7,64.3,5.7,
120,MAINE,Total,1074,1056,828.0,77.1,2.6,78.4,2.5,693.0,64.5,2.9,65.6,2.9,
121,MAINE,18 to 24,89,89,46.0,51.5,10.6,51.5,10.6,26.0,29.2,9.6,29.2,9.6,
122,MAINE,25 to 34,174,171,108.0,61.9,7.3,63.2,7.4,88.0,50.3,7.5,51.3,7.6,
123,MAINE,35 to 44,149,148,122.0,81.5,6.3,82.1,6.3,93.0,62.4,7.9,62.9,7.9,
124,MAINE,45 to 64,385,378,317.0,82.5,3.9,83.9,3.8,273.0,70.9,4.6,72.1,4.6,
125,MAINE,65+,276,270,235.0,85.3,4.3,87.1,4.1,213.0,77.3,5.0,78.9,4.9,
126,MARYLAND,Total,4666,4281,3095.0,66.3,2.3,72.3,2.3,2320.0,49.7,2.5,54.2,2.6,
127,MARYLAND,18 to 24,653,584,354.0,54.2,6.5,60.6,6.8,220.0,33.7,6.2,37.7,6.7,
128,MARYLAND,25 to 34,780,690,477.0,61.2,5.9,69.2,5.9,302.0,38.7,5.9,43.8,6.3,
129,MARYLAND,35 to 44,689,616,444.0,64.5,6.1,72.1,6.1,340.0,49.3,6.4,55.2,6.7,
130,MARYLAND,45 to 64,1604,1486,1101.0,68.6,3.9,74.1,3.8,902.0,56.2,4.2,60.7,4.3,
131,MARYLAND,65+,939,906,719.0,76.6,4.6,79.4,4.5,556.0,59.2,5.4,61.4,5.4,
132,MASSACHUSETTS,Total,5460,4919,3345.0,61.3,2.2,68.0,2.2,2731.0,50.0,2.2,55.5,2.3,
133,MASSACHUSETTS,18 to 24,644,556,240.0,37.3,6.2,43.2,6.9,188.0,29.3,5.9,33.9,6.6,
134,MASSACHUSETTS,25 to 34,1038,905,549.0,52.8,5.1,60.6,5.3,417.0,40.2,5.0,46.1,5.4,
135,MASSACHUSETTS,35 to 44,813,666,429.0,52.8,5.7,64.4,6.1,324.0,39.8,5.6,48.6,6.3,
136,MASSACHUSETTS,45 to 64,1870,1729,1326.0,70.9,3.4,76.7,3.3,1121.0,59.9,3.7,64.9,3.8,
137,MASSACHUSETTS,65+,1095,1063,801.0,73.2,4.4,75.4,4.3,681.0,62.2,4.8,64.1,4.8,
138,MICHIGAN,Total,7657,7430,5453.0,71.2,1.7,73.4,1.7,4418.0,57.7,1.9,59.5,1.9,
139,MICHIGAN,18 to 24,841,825,455.0,54.1,5.7,55.1,5.7,279.0,33.2,5.4,33.9,5.4,
140,MICHIGAN,25 to 34,1300,1249,823.0,63.3,4.4,65.9,4.4,589.0,45.3,4.6,47.2,4.7,
141,MICHIGAN,35 to 44,1152,1077,793.0,68.8,4.5,73.6,4.4,625.0,54.3,4.8,58.1,5.0,
142,MICHIGAN,45 to 64,2733,2673,2071.0,75.8,2.7,77.5,2.7,1733.0,63.4,3.0,64.8,3.0,
143,MICHIGAN,65+,1631,1605,1311.0,80.4,3.2,81.7,3.2,1190.0,73.0,3.6,74.1,3.6,
144,MINNESOTA,Total,4238,4006,3000.0,70.8,2.3,74.9,2.3,2523.0,59.5,2.5,63.0,2.5,
145,MINNESOTA,18 to 24,440,410,210.0,47.8,7.9,51.2,8.2,175.0,39.9,7.7,42.7,8.1,
146,MINNESOTA,25 to 34,795,696,434.0,54.7,5.9,62.4,6.1,330.0,41.5,5.8,47.4,6.3,
147,MINNESOTA,35 to 44,692,653,502.0,72.5,5.6,76.9,5.5,419.0,60.6,6.2,64.2,6.2,
148,MINNESOTA,45 to 64,1519,1461,1155.0,76.0,3.6,79.0,3.5,981.0,64.6,4.1,67.1,4.1,
149,MINNESOTA,65+,793,785,699.0,88.1,3.8,89.0,3.7,618.0,77.9,4.9,78.7,4.8,
150,MISSISSIPPI,Total,2194,2178,1599.0,72.9,2.5,73.4,2.5,1180.0,53.8,2.8,54.2,2.8,
151,MISSISSIPPI,18 to 24,269,269,123.0,45.7,7.9,45.7,7.9,72.0,26.7,7.0,26.7,7.0,
152,MISSISSIPPI,25 to 34,365,354,253.0,69.5,6.3,71.5,6.2,133.0,36.5,6.5,37.6,6.7,
153,MISSISSIPPI,35 to 44,353,353,267.0,75.7,5.9,75.7,5.9,187.0,53.1,6.9,53.1,6.9,
154,MISSISSIPPI,45 to 64,727,722,571.0,78.5,3.9,79.1,3.9,472.0,64.9,4.6,65.4,4.6,
155,MISSISSIPPI,65+,481,481,385.0,80.1,4.7,80.1,4.7,316.0,65.8,5.6,65.8,5.6,
156,MISSOURI,Total,4676,4564,3299.0,70.6,2.2,72.3,2.2,2509.0,53.7,2.4,55.0,2.5,
157,MISSOURI,18 to 24,522,488,307.0,58.8,7.2,62.9,7.3,202.0,38.7,7.1,41.4,7.5,
158,MISSOURI,25 to 34,805,774,544.0,67.6,5.5,70.2,5.5,373.0,46.3,5.9,48.1,6.0,
159,MISSOURI,35 to 44,780,759,517.0,66.3,5.7,68.2,5.6,386.0,49.5,6.0,50.9,6.1,
160,MISSOURI,45 to 64,1462,1450,1064.0,72.8,3.9,73.4,3.9,832.0,56.9,4.3,57.4,4.3,
161,MISSOURI,65+,1107,1093,867.0,78.3,4.1,79.3,4.1,716.0,64.7,4.8,65.6,4.8,
162,MONTANA,Total,822,812,579.0,70.4,2.3,71.3,2.3,518.0,63.0,2.4,63.8,2.4,
163,MONTANA,18 to 24,83,81,41.0,49.7,7.9,50.5,8.0,32.0,38.3,7.7,38.9,7.8,
164,MONTANA,25 to 34,147,144,89.0,60.9,5.8,62.3,5.8,71.0,48.0,5.9,49.2,6.0,
165,MONTANA,35 to 44,127,124,90.0,70.6,5.8,72.4,5.8,76.0,59.8,6.3,61.3,6.3,
166,MONTANA,45 to 64,254,253,192.0,75.5,3.9,75.8,3.9,178.0,70.1,4.1,70.3,4.1,
167,MONTANA,65+,212,210,167.0,78.8,4.0,79.4,4.0,162.0,76.6,4.2,77.1,4.2,
168,NEBRASKA,Total,1428,1332,883.0,61.9,2.8,66.3,2.8,676.0,47.3,2.9,50.8,3.0,
169,NEBRASKA,18 to 24,172,157,69.0,40.1,8.2,43.9,8.7,50.0,29.2,7.6,32.0,8.2,
170,NEBRASKA,25 to 34,286,268,165.0,57.6,6.4,61.4,6.5,112.0,39.1,6.3,41.7,6.6,
171,NEBRASKA,35 to 44,215,181,113.0,52.6,7.5,62.5,7.9,81.0,37.9,7.3,45.0,8.1,
172,NEBRASKA,45 to 64,467,439,311.0,66.5,4.8,70.7,4.8,244.0,52.2,5.1,55.5,5.2,
173,NEBRASKA,65+,288,286,226.0,78.5,5.3,79.0,5.3,189.0,65.5,6.2,66.0,6.2,
174,NEVADA,Total,2324,2067,1277.0,55.0,2.7,61.8,2.8,1006.0,43.3,2.7,48.7,2.9,
175,NEVADA,18 to 24,260,238,119.0,45.7,8.1,49.9,8.5,77.0,29.7,7.4,32.4,7.9,
176,NEVADA,25 to 34,433,373,192.0,44.3,6.2,51.5,6.8,115.0,26.6,5.5,30.9,6.2,
177,NEVADA,35 to 44,373,323,191.0,51.3,6.8,59.3,7.1,141.0,37.8,6.6,43.7,7.2,
178,NEVADA,45 to 64,791,687,452.0,57.2,4.6,65.8,4.7,372.0,47.0,4.6,54.2,5.0,
179,NEVADA,65+,467,447,323.0,69.1,5.6,72.3,5.5,301.0,64.5,5.8,67.4,5.8,
180,NEW HAMPSHIRE,Total,1080,1025,726.0,67.2,2.6,70.8,2.6,576.0,53.3,2.8,56.2,2.8,
181,NEW HAMPSHIRE,18 to 24,114,106,61.0,53.4,8.5,57.6,8.7,39.0,34.4,8.1,37.1,8.6,
182,NEW HAMPSHIRE,25 to 34,153,138,84.0,55.3,7.3,61.1,7.5,61.0,39.9,7.2,44.0,7.7,
183,NEW HAMPSHIRE,35 to 44,175,165,108.0,61.7,6.7,65.2,6.7,80.0,45.8,6.9,48.4,7.1,
184,NEW HAMPSHIRE,45 to 64,404,387,298.0,73.7,4.0,76.8,3.9,241.0,59.6,4.4,62.1,4.5,
185,NEW HAMPSHIRE,65+,234,228,175.0,74.9,5.2,76.8,5.1,155.0,66.3,5.6,68.0,5.6,
186,NEW JERSEY,Total,7009,6267,4297.0,61.3,1.9,68.6,1.9,3384.0,48.3,2.0,54.0,2.1,
187,NEW JERSEY,18 to 24,811,738,350.0,43.1,5.7,47.4,6.1,237.0,29.2,5.3,32.1,5.7,
188,NEW JERSEY,25 to 34,1235,1030,670.0,54.2,4.7,65.0,4.9,435.0,35.2,4.5,42.2,5.1,
189,NEW JERSEY,35 to 44,1076,882,661.0,61.4,4.9,74.9,4.8,548.0,50.9,5.0,62.0,5.4,
190,NEW JERSEY,45 to 64,2361,2177,1573.0,66.6,3.2,72.3,3.2,1297.0,55.0,3.4,59.6,3.5,
191,NEW JERSEY,65+,1526,1440,1043.0,68.4,3.9,72.5,3.9,868.0,56.8,4.2,60.3,4.3,
192,NEW MEXICO,Total,1576,1485,916.0,58.1,2.5,61.7,2.6,715.0,45.3,2.6,48.1,2.6,
193,NEW MEXICO,18 to 24,184,180,80.0,43.6,7.5,44.5,7.6,50.0,27.4,6.7,28.0,6.8,
194,NEW MEXICO,25 to 34,284,261,148.0,52.2,6.0,56.9,6.3,97.0,34.1,5.7,37.2,6.1,
195,NEW MEXICO,35 to 44,236,219,121.0,51.2,6.6,55.0,6.9,81.0,34.4,6.3,37.0,6.7,
196,NEW MEXICO,45 to 64,528,489,311.0,59.0,4.4,63.7,4.4,263.0,49.8,4.4,53.7,4.6,
197,NEW MEXICO,65+,345,336,255.0,74.0,4.8,75.9,4.8,224.0,64.8,5.2,66.5,5.3,
198,NEW YORK,Total,15478,13684,8553.0,55.3,1.3,62.5,1.4,6775.0,43.8,1.3,49.5,1.4,
199,NEW YORK,18 to 24,1762,1518,734.0,41.7,3.9,48.4,4.3,505.0,28.6,3.6,33.3,4.1,
200,NEW YORK,25 to 34,2962,2483,1302.0,44.0,3.1,52.4,3.4,958.0,32.4,2.9,38.6,3.3,
201,NEW YORK,35 to 44,2421,2005,1301.0,53.8,3.4,64.9,3.6,1005.0,41.5,3.4,50.1,3.7,
202,NEW YORK,45 to 64,4936,4437,2918.0,59.1,2.3,65.8,2.4,2341.0,47.4,2.4,52.8,2.5,
203,NEW YORK,65+,3396,3241,2297.0,67.6,2.7,70.9,2.7,1965.0,57.9,2.8,60.6,2.9,
204,NORTH CAROLINA,Total,7911,7444,5160.0,65.2,1.8,69.3,1.8,3899.0,49.3,1.9,52.4,1.9,
205,NORTH CAROLINA,18 to 24,1002,955,468.0,46.7,5.3,49.0,5.4,302.0,30.1,4.8,31.6,5.0,
206,NORTH CAROLINA,25 to 34,1329,1169,769.0,57.8,4.5,65.7,4.6,447.0,33.6,4.3,38.2,4.7,
207,NORTH CAROLINA,35 to 44,1200,1071,710.0,59.1,4.7,66.2,4.8,526.0,43.9,4.8,49.1,5.1,
208,NORTH CAROLINA,45 to 64,2742,2630,1905.0,69.5,2.9,72.4,2.9,1555.0,56.7,3.2,59.1,3.2,
209,NORTH CAROLINA,65+,1639,1618,1309.0,79.9,3.3,80.9,3.3,1069.0,65.2,3.9,66.1,3.9,
210,NORTH DAKOTA,Total,560,541,397.0,70.9,2.5,73.4,2.5,335.0,59.8,2.7,61.9,2.7,
211,NORTH DAKOTA,18 to 24,74,72,42.0,B,B,B,B,26.0,B,B,B,B,
212,NORTH DAKOTA,25 to 34,122,113,78.0,64.0,5.7,68.9,5.7,60.0,49.4,5.9,53.2,6.1,
213,NORTH DAKOTA,35 to 44,81,77,57.0,69.9,6.6,73.8,6.5,47.0,57.9,7.1,61.1,7.3,
214,NORTH DAKOTA,45 to 64,165,162,125.0,75.3,4.4,76.7,4.3,112.0,67.9,4.7,69.1,4.7,
215,NORTH DAKOTA,65+,118,118,96.0,81.6,4.7,81.8,4.6,90.0,76.1,5.1,76.4,5.1,
216,OHIO,Total,8873,8640,6062.0,68.3,1.6,70.2,1.6,4538.0,51.1,1.8,52.5,1.8,
217,OHIO,18 to 24,1033,1007,503.0,48.7,5.1,49.9,5.2,226.0,21.9,4.2,22.5,4.3,
218,OHIO,25 to 34,1472,1399,882.0,59.9,4.2,63.0,4.3,601.0,40.8,4.2,42.9,4.4,
219,OHIO,35 to 44,1365,1322,956.0,70.1,4.1,72.3,4.1,706.0,51.8,4.5,53.4,4.5,
220,OHIO,45 to 64,3127,3043,2238.0,71.6,2.7,73.6,2.6,1750.0,56.0,2.9,57.5,3.0,
221,OHIO,65+,1876,1869,1482.0,79.0,3.1,79.3,3.1,1254.0,66.9,3.6,67.1,3.6,
222,OKLAHOMA,Total,2868,2732,1777.0,62.0,2.9,65.1,2.9,1350.0,47.1,3.0,49.4,3.0,
223,OKLAHOMA,18 to 24,309,287,110.0,35.6,8.7,38.2,9.1,65.0,21.1,7.4,22.6,7.9,
224,OKLAHOMA,25 to 34,507,471,275.0,54.2,7.0,58.3,7.2,191.0,37.6,6.8,40.5,7.2,
225,OKLAHOMA,35 to 44,509,469,305.0,59.8,6.9,64.9,7.0,202.0,39.7,6.9,43.1,7.3,
226,OKLAHOMA,45 to 64,912,876,600.0,65.8,5.0,68.5,5.0,486.0,53.2,5.3,55.4,5.3,
227,OKLAHOMA,65+,631,628,487.0,77.2,5.3,77.6,5.3,406.0,64.4,6.1,64.7,6.1,
